,Wavelength[nm],Average
0,320.469,9.0
1,323.166,91.0
2,325.861,74.0
3,328.553,93.0
4,331.243,59.0
5,333.93,71.0
6,336.615,119.0
7,339.297,128.0
8,341.976,114.0
9,344.653,136.0
10,347.327,133.0
11,349.998,187.0
12,352.666,214.0
13,355.331,315.0
14,357.994,316.0
15,360.653,459.0
16,363.309,783.0
17,365.962,1428.0
18,368.612,2900.0
19,371.259,6854.0
20,373.903,14490.0
21,376.543,27569.0
22,379.18,44931.0
23,381.813,53155.0
24,384.443,53405.0
25,387.07,53614.0
26,389.693,53112.0
27,392.313,53390.0
28,394.929,51305.0
29,397.541,39327.0
30,400.15,28328.0
31,402.755,19452.0
32,405.356,13012.0
33,407.954,8529.0
34,410.547,5805.0
35,413.137,3967.0
36,415.723,2812.0
37,418.305,1929.0
38,420.883,1442.0
39,423.457,1159.0
40,426.027,922.0
41,428.593,746.0
42,431.154,676.0
43,433.712,600.0
44,436.265,529.0
45,438.814,534.0
46,441.359,504.0
47,443.9,526.0
48,446.436,487.0
49,448.967,481.0
50,451.495,567.0
51,454.018,576.0
52,456.536,556.0
53,459.05,547.0
54,461.559,472.0
55,464.064,588.0
56,466.564,570.0
57,469.06,551.0
58,471.551,531.0
59,474.037,492.0
60,476.518,538.0
61,478.995,472.0
62,481.467,490.0
63,483.934,472.0
64,486.396,478.0
65,488.853,480.0
66,491.305,471.0
67,493.753,427.0
68,496.195,476.0
69,498.632,454.0
70,501.065,430.0
71,503.492,474.0
72,505.914,427.0
73,508.332,429.0
74,510.743,394.0
75,513.15,444.0
76,515.552,436.0
77,517.948,430.0
78,520.339,412.0
79,522.725,416.0
80,525.106,367.0
81,527.481,402.0
82,529.851,412.0
83,532.216,379.0
84,534.575,363.0
85,536.929,331.0
86,539.277,311.0
87,541.62,328.0
88,543.957,322.0
89,546.289,298.0
90,548.616,277.0
91,550.936,264.0
92,553.252,287.0
93,555.561,266.0
94,557.865,235.0
95,560.164,227.0
96,562.457,221.0
97,564.744,194.0
98,567.025,180.0
99,569.301,179.0
100,571.571,171.0
101,573.835,189.0
102,576.093,195.0
103,578.346,195.0
104,580.593,183.0
105,582.834,204.0
106,585.069,155.0
107,587.299,167.0
108,589.522,144.0
109,591.74,161.0
110,593.952,140.0
111,596.158,104.0
112,598.358,94.0
113,600.551,87.0
114,602.739,96.0
115,604.922,111.0
116,607.098,110.0
117,609.268,86.0
118,611.432,123.0
119,613.59,58.0
120,615.742,109.0
121,617.887,115.0
122,620.027,94.0
123,622.161,98.0
124,624.289,98.0
125,626.41,79.0
126,628.526,87.0
127,630.635,79.0
128,632.738,88.0
129,634.835,86.0
