,Wavelength[nm],Average
0,320.469,-0.363636
1,323.166,1.703704
2,325.861,6.454545
3,328.553,1.357143
4,331.243,1.264151
5,333.93,-11.0
6,336.615,0.978261
7,339.297,0.842105
8,341.976,0.692308
9,344.653,0.901961
10,347.327,0.775862
11,349.998,0.697368
12,352.666,7.428571
13,355.331,0.722222
14,357.994,0.803571
15,360.653,1.487805
16,363.309,-13.75
17,365.962,1.317073
18,368.612,1.121212
19,371.259,0.634615
20,373.903,1.06
21,376.543,1.625
22,379.18,0.888889
23,381.813,1.75
24,384.443,1.394737
25,387.07,2.875
26,389.693,1.395833
27,392.313,1.138889
28,394.929,1.377358
29,397.541,0.982143
30,400.15,0.528571
31,402.755,0.860465
32,405.356,1.209677
33,407.954,0.816327
34,410.547,1.172131
35,413.137,1.069767
36,415.723,1.179487
37,418.305,0.710145
38,420.883,0.778816
39,423.457,0.787946
40,426.027,0.76947
41,428.593,0.820399
42,431.154,0.796238
43,433.712,0.791575
44,436.265,0.811365
45,438.814,0.804865
46,441.359,0.807517
47,443.9,0.801784
48,446.436,0.77985
49,448.967,0.777887
50,451.495,0.767275
51,454.018,0.755051
52,456.536,0.756811
53,459.05,0.779022
54,461.559,0.781773
55,464.064,0.791404
56,466.564,0.781525
57,469.06,0.784127
58,471.551,0.795839
59,474.037,0.803738
60,476.518,0.795195
61,478.995,0.817168
62,481.467,0.829787
63,483.934,0.855516
64,486.396,0.857869
65,488.853,0.868486
66,491.305,0.870782
67,493.753,0.858434
68,496.195,0.869565
69,498.632,0.894535
70,501.065,0.913153
71,503.492,0.927061
72,505.914,0.935244
73,508.332,0.924828
74,510.743,0.929254
75,513.15,0.956537
76,515.552,0.956879
77,517.948,0.966699
78,520.339,0.98434
79,522.725,0.968436
80,525.106,0.980761
81,527.481,0.999113
82,529.851,0.980434
83,532.216,0.983516
84,534.575,0.994379
85,536.929,0.996081
86,539.277,0.973207
87,541.62,0.992443
88,543.957,0.990799
89,546.289,0.987357
90,548.616,0.982635
91,550.936,0.995055
92,553.252,1.005287
93,555.561,1.004156
94,557.865,1.000276
95,560.164,1.015616
96,562.457,1.003552
97,564.744,1.000945
98,567.025,0.995393
99,569.301,1.008345
100,571.571,1.00394
101,573.835,1.024212
102,576.093,1.033727
103,578.346,1.029555
104,580.593,1.046795
105,582.834,1.048566
106,585.069,1.049617
107,587.299,1.046165
108,589.522,1.058104
109,591.74,1.058116
110,593.952,1.056922
111,596.158,1.060074
112,598.358,1.035139
113,600.551,1.042139
114,602.739,1.027294
115,604.922,1.026074
116,607.098,1.014208
117,609.268,1.009654
118,611.432,1.012317
119,613.59,1.000368
120,615.742,1.003502
121,617.887,0.976058
122,620.027,0.957566
123,622.161,0.987285
124,624.289,0.971371
125,626.41,0.975409
126,628.526,0.961213
127,630.635,0.95041
128,632.738,0.959378
129,634.835,0.951485
130,636.926,0.969697
131,639.011,0.955678
132,641.089,0.976032
133,643.162,0.979242
134,645.228,0.995405
135,647.288,0.977016
136,649.341,0.98138
137,651.389,0.963123
138,653.43,0.98469
139,655.465,0.981827
140,657.494,0.989247
141,659.516,0.986694
142,661.532,0.992282
143,663.542,0.963832
144,665.546,1.020972
145,667.543,0.984749
146,669.535,0.993462
147,671.519,0.982077
148,673.498,1.051593
149,675.47,1.011299
150,677.436,0.996528
151,679.396,1.041509
152,681.349,1.047675
153,683.296,1.021277
154,685.236,1.009579
155,687.171,1.005552
156,689.099,1.011021
157,691.02,1.021531
158,692.935,1.017327
159,694.844,1.055818
160,696.747,1.030651
161,698.643,1.004
162,700.533,0.997872
163,702.416,1.074766
164,704.293,0.99508
165,706.164,1.123783
166,708.029,1.052709
167,709.887,1.087302
168,711.738,1.058268
169,713.584,0.963993
170,715.423,1.007737
171,717.255,1.02444
172,719.082,0.926978
173,720.901,1.021142
174,722.715,1.035176
175,724.522,1.015707
176,726.323,1.050139
177,728.117,1.130952
178,729.905,0.972222
179,731.687,1.161654
180,733.462,0.98951
181,735.232,0.98524
182,736.994,1.060976
183,738.751,0.830827
184,740.501,1.245098
185,742.244,0.892377
186,743.982,1.241573
187,745.713,0.875622
188,747.437,0.778351
189,749.156,1.084337
190,750.868,1.056338
191,752.573,1.564103
192,754.273,0.83125
193,755.966,0.734694
194,757.653,1.203704
195,759.333,1.253968
196,761.008,1.413793
197,762.676,1.017544
198,764.337,1.203704
199,765.993,1.587302
200,767.642,0.901961
201,769.285,1.397059
202,770.922,1.121951
203,772.552,1.354167
204,774.176,0.659341
205,775.795,1.127273
206,777.406,1.324324
207,779.012,2.029412
208,780.611,0.928571
209,782.205,0.806818
210,783.792,1.282051
211,785.373,1.088889
212,786.947,1.15
213,788.516,0.450704
214,790.078,1.825
215,791.635,0.826923
216,793.185,0.830189
217,794.729,0.893939
218,796.267,2.666667
219,797.799,1.896552
220,799.325,0.897959
221,800.844,1.708333
222,802.358,1.5
223,803.866,1.08
224,805.368,1.0
225,806.863,1.142857
226,808.353,1.880952
227,809.836,1.12766
228,811.314,16.666666
229,812.786,2.16129
230,814.252,0.921053
231,815.711,7.75
232,817.165,0.947368
233,818.613,1.390244
234,820.055,0.709677
235,821.491,1.488372
236,822.922,1.083333
237,824.346,0.510204
238,825.765,2.695652
239,827.178,1.146341
240,828.585,0.789474
241,829.986,1.069767
242,831.381,4.5
243,832.771,2.086957
244,834.155,44.0
245,835.533,2.518518
246,836.906,1.325581
247,838.272,1.160714
248,839.633,-6.125
249,840.989,1.351351
250,842.339,0.755102
251,843.683,1.104167
252,845.021,2.636364
253,846.354,0.946429
254,847.682,1.368421
255,849.004,1.314286
256,850.32,0.461538
257,851.631,1.333333
258,852.936,0.770492
259,854.236,1.171429
260,855.53,4.352941
261,856.819,1.617021
262,858.102,1.285714
263,859.38,1.041667
264,860.653,1.571429
265,861.92,1.486486
266,863.182,1.631579
267,864.439,2.081081
268,865.69,3.388889
269,866.936,1.666667
270,868.177,7.571429
271,869.412,6.857143
272,870.642,1.233333
273,871.867,0.96875
274,873.087,10.75
275,874.302,0.586207
276,875.512,3.923077
277,876.716,2.230769
278,877.916,2.277778
279,879.11,0.363636
280,880.299,2.0625
281,881.483,-10.0
282,882.663,0.621622
283,883.837,1.384615
284,885.006,0.565217
285,886.17,1.6
286,887.33,2.2
287,888.484,-4.5
